Source Name,No.,Title,Tender No.,Category,Ministry,Tenderer,Address,Date,Display Date,Price
myprocurement_export (10).xlsx,12,TENDER PERKHIDMATAN PENYELENGGARAAN SISTEM DAN PEMBAHARUAN LESEN BAGI SISTEM E-ACCREDITATION 2.0 JABATAN STANDARD MALAYSIA,QT250000000021540,Perkhidmatan Bukan Perunding,"KEMENTERIAN PELABURAN, PERDAGANGAN DAN INDUSTRI",UNIJAYA RESOURCES SDN. BHD.,"D-6-8 MEGAN AVENUE 1, 189 JALAN TUN RAZAK TIADA MAKLUMAT DAERAH 50400 WILAYAH PERSEKUTUAN KUALA LUMPUR",12/8/25 4:41,12/10/25 4:41,"844,413.96"
myprocurement_export (10).xlsx,1,"TENDER PEROLEHAN SECARA SEWAAN (LEASING)  BAGI 3D DIGITAL TECHNOLOGY DENGAN KEBOLEHAN SCAN DAN MENCETAK PROSTESIS SECARA TENDER SELAMA LIMA (5) TAHUN BAGI KLINIK PERGIGIAN, KEMENTERIAN KESIHATAN MALAYSIA (KKM)",QT240000000028030,Perkhidmatan Bukan Perunding,KEMENTERIAN KESIHATAN,MEDIKRAFT SDN. BHD.,"33,JALAN SS 19/6C PETALING 47500 SELANGOR",12/4/25 4:41,TIADA MAKLUMAT,"10,977,540.00"
myprocurement_export (10).xlsx,2,TENDER MEMBEKAL DAN MENGHANTAR PLATE MEDIA BAGI KULTUR MIKROORGANISMA DI JABATAN PATOLOGI HOSPITAL KUALA LUMPUR UNTUK TEMPOH 36 BULAN,QT250000000002510,Bekalan,KEMENTERIAN KESIHATAN,ALAM MEDIK SDN. BHD.,"2ND FLOOR,WISMA PRIMA, 17,JALAN SRI SEMANTAN SATU, DAMANSARA HEIGHTS TIADA MAKLUMAT DAERAH 50490 WILAYAH PERSEKUTUAN KUALA LUMPUR",12/4/25 4:41,TIADA MAKLUMAT,"2,129,646.00"
myprocurement_export (10).xlsx,48,"TENDER MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJI DAN MENTAULIAH PERALATAN PERUBATAN SATU (1) UNIT INTRA-AORTIC BALLOON PUMP DI UNIT KARDIOTORASIK ANESTESIA DAN PERFUSI, HOSPITAL SULTANAH AMINAH, JOHOR BAHRU",QT250000000024878,Bekalan,KEMENTERIAN KESIHATAN,MEDILIANCE (M) SDN. BHD.,"NO. 11-2 SRI MANJA SQUARE II, JALAN PJS 3/59, TAMAN SRI MANJA PETALING 46100 SELANGOR",12/4/25 4:41,TIADA MAKLUMAT,"630,870.00"
myprocurement_export (10).xlsx,19,"MEMBEKAL RANGSUM SEGAR (IKAN SEGAR, IKAN KERING, PERENCAH, SAYUR-SAYURAN, BUAH-BUAHAN DAN LAIN-LAIN BAHAN) UNTUK TENTERA DARAT MALAYSIA (TDM) BAGI KAWASAN SEMENANJUNG (BATU  MELINTANG DAN TANAH MERAH) BAGI TEMPOH TIGA (3) TAHUN",QT240000000028157,Bekalan,KEMENTERIAN PERTAHANAN,RAVE RESOURCES SDN. BHD.,"LOT 107, SUITE 208, GROUND FLOOR, JALAN ENAM, OFF JALAN CHAN SOW LIN TIADA MAKLUMAT DAERAH 55200 WILAYAH PERSEKUTUAN KUALA LUMPUR",12/3/25 4:41,TIADA MAKLUMAT,"12,505,376.80"
myprocurement_export (10).xlsx,22,"MEMBEKAL RANGSUM SEGAR (SAYUR-SAYURAN, BUAH-BUAHAN, DAN LAIN-LAIN BAHAN) UNTUK TENTERA DARAT MALAYSIA (TDM) BAGI KAWASAN SEMENANJUNG (PERAK) BAGI TEMPOH TIGA (3) TAHUN",QT250000000000110,Bekalan,KEMENTERIAN PERTAHANAN,ALIFF GLOBAL RESOURCES,"T3-26-11A, PUSAT PERDAGANGAN ICON CITY, NO. 1B, JALAN SS 8/39, SS 8, PETALING 47300 SELANGOR",12/3/25 4:41,TIADA MAKLUMAT,"10,355,900.22"
myprocurement_export (10).xlsx,24,"MEMBEKALKAN RANGSUM PUKAL TIGA (3) ITEM UNTUK TENTERA DARAT MALAYSIA (TDM) BAGI KAWASAN SEMENANJUNG (PERLIS, KEDAH, PULAU PINANG DAN PERAK) BAGI TEMPOH TIGA (3) TAHUN",QT250000000011716,Bekalan,KEMENTERIAN PERTAHANAN,INFLOW GLOBAL MARKETING (M) SDN BHD,"B7, KAWASAN INDUSTRI MARA, BT.7 1/2, JALAN TAMBUN KINTA 31150 PERAK",12/3/25 4:41,TIADA MAKLUMAT,"1,247,351.04"
myprocurement_export (11).xlsx,82,"MENGUKUR, MENJAHIT, MEMBEKAL DAN MENGHANTAR PAKAIAN NO.1 F/SJN KE BAWAH (LELAKI/WANITA) UNTUK TENTERA UDARA DIRAJA MALAYSIA (TUDM) BAGI TEMPOH TIGA (3) TAHUN",QT240000000033052,Bekalan,KEMENTERIAN PERTAHANAN,SHELLEMAS SDN. BHD.,"NO. 41, JALAN MAS JAYA 2, KAWASAN PERINDUSTRIAN MAS JAYA ULU LANGAT 43200 SELANGOR",12/3/25 4:41,TIADA MAKLUMAT,"6,267,105.00"
myprocurement_export (11).xlsx,83,"MENGUKUR, MENJAHIT, MEMBEKAL DAN MENGHANTAR PAKAIAN NO.6 C/W INNER F/SJN KE BAWAH (LELAKI/WANITA) UNTUK TENTERA UDARA DIRAJA MALAYSIA (TUDM) BAGI TEMPOH TIGA (3) TAHUN",QT240000000035004,Bekalan,KEMENTERIAN PERTAHANAN,CEMPAKA BIRU FASHION & CRAFT SDN. BHD.,"NO. C01, JALAN SULTAN IBRAHIM, PEKAN KUALA SELANGOR KUALA SELANGOR 45000 SELANGOR",12/3/25 4:41,TIADA MAKLUMAT,"3,028,581.00"
myprocurement_export (11).xlsx,84,MEMBEKAL DAN MENGHANTAR PAIROTEKNIK DAN DEMOLITION ITEM UNTUK TENTERA UDARA DIRAJA MALAYSIA (TUDM),QT250000000018189,Bekalan,KEMENTERIAN PERTAHANAN,KAY R RESOURCES (M) SDN. BHD.,"NO 120A, TINGKAT 1, SOLOK PENDAMAR INDAH 1, TAMAN PENDAMAR INDAH KLANG 42000 SELANGOR",12/3/25 4:41,TIADA MAKLUMAT,"26,077,500.00"
myprocurement_export (11).xlsx,85,"KONTRAK PERKHIDMATAN MENCUCI BANGUNAN, RUMAH SAMPAH ,BILIK AIR DAN TANDAS DI SEKTOR B                                 (MARKAS PANGKALAN LUMUT)",QT250000000020957,Perkhidmatan Bukan Perunding,KEMENTERIAN PERTAHANAN,MAJU SUCI ENTERPRISE,"NO.21A, LORONG SENTUL KECIL OFF JALAN SENTUL TIADA MAKLUMAT DAERAH 51100 WILAYAH PERSEKUTUAN KUALA LUMPUR",12/3/25 4:41,TIADA MAKLUMAT,"2,090,111.40"
myprocurement_export (11).xlsx,86,"KONTRAK PERKHIDMATAN KAWALAN DAN PEMBASMIAN ANAI-ANAI DI PANGKALAN TLDM LUMUT, STESEN KOMUNIKASI TLDM SITIAWAN DAN STESEN KOMUNIKASI TLDM PARIT",QT250000000021051,Perkhidmatan Bukan Perunding,KEMENTERIAN PERTAHANAN,CN PEST SERVICES SDN. BHD.,"NO. 15-1, JALAN WANGSA SETIA 3, WANGSA MELAWATI TIADA MAKLUMAT DAERAH 53300 WILAYAH PERSEKUTUAN KUALA LUMPUR",12/3/25 4:41,TIADA MAKLUMAT,"1,651,968.00"
myprocurement_export (10).xlsx,3,KONTRAK PEMBEKALAN DAN PENGHANTARAN ALAT GANTI PEMAMPAT UDARA UNTUK TLDM,QT250000000003797,Bekalan,KEMENTERIAN PERTAHANAN,NAVAMAS ENGINEERING SDN. BHD.,"179, PERSIARAN SETIA 7, SETIA RESIDEN MANJUNG 32000 PERAK",12/3/25 4:41,TIADA MAKLUMAT,"3,309,006.80"
myprocurement_export (10).xlsx,58,"PEROLEHAN PERKHIDMATAN PENYELENGGARAAN KAWASAN PANTAI TANJUNG BATU, PANTAI TANJUNG PURUN, ANJUNG KETAM TANJUNG ARU, ANJUNG IKAN BAKAR LUBOK TEMIANG, GERAI MAKAN TANJUNG ARU NELAYAN, LETAK KERETA PESISIR PANTAI DAN REKREASI MEMBEDAI-NAGALANG SERTA KERJA-KERJA BERKAITAN UNTUK PERBADANAN LABUAN UNTUK TEMPOH 24 BULAN",PL.(T).06.2025(JPP),Perkhidmatan Bukan Perunding,JABATAN PERDANA MENTERI,WINTOUCH RESOURCES TRADING,"U0375, JALAN BUNGA ANGGERIK TIADA MAKLUMAT DAERAH 87000 WILAYAH PERSEKUTUAN LABUAN",12/1/25 10:41,12/2/25 10:41,"895,500.00"
myprocurement_export (10).xlsx,47,"KERJA AWALAN MENAIK TARAF JALAN BERUNGGIS KE SERUSUP DARI PERSIMPANGAN JALAN MARABAHAI SPUR KE PERSIMPANGAN JALAN SERUSUP, TUARAN, SABAH (REKABENTUK & PENGAMBILAN TANAH)",JKR/IP/CJ/T/2025/5,Perkhidmatan Perunding,KEMENTERIAN KERJA RAYA,PS CONSULTING ENGINEERS  SDN. BHD.,"1ST FLOOR, BLOCK C, LOT 17 (DBKK SHOP NO. 25-1), IRAMANIS CENTRE, JALAN LINTAS PUTATAN (DAERAH KECIL) 88450 SABAH",11/28/25 15:41,11/28/25 15:41,"5,058,764.00"
myprocurement_export (12).xlsx,62,"MEMBEKAL, MEMASANG, MENGUJI, DAN MENTAULIAH SATU (1) UNIT SPEKTROSKOPI GAMA (GAMMA SPECTROSCOPY) BESERTA AKSESORI DI BAHAGIAN TEKNOLOGI PERUBATAN, AGENSI NUKLEAR MALAYSIA - T.03/2025 (PELAWAAN KEDUA)",QT250000000031585,Bekalan,"KEMENTERIAN SAINS, TEKNOLOGI DAN INOVASI",OR TECHNOLOGIES SDN. BHD.,"SUITE B-10-10, MENARA UNCANG EMAS, NO.85 JALAN LOKE YEW TIADA MAKLUMAT DAERAH 55200 WILAYAH PERSEKUTUAN KUALA LUMPUR",11/28/25 4:41,TIADA MAKLUMAT,"682,500.00"
myprocurement_export (10).xlsx,73,"[FTA (CPTPP)] TENDER PEMBEKALAN INSULIN ASPART 100IU/ML INJECTION SEBANYAK 2,540,000 PREFILLED PEN / KARTRIJ DI FASILITI-FASILITI KEMENTERIAN KESIHATAN MALAYSIA BAGI TEMPOH DUA TAHUN",QT240000000032219,Bekalan,KEMENTERIAN KESIHATAN,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599 JALAN SERULING 59, TAMAN KLANG JAYA KLANG 41200 SELANGOR",11/27/25 12:41,TIADA MAKLUMAT,"52,539,900.00"
myprocurement_export (10).xlsx,57,"[FTA (CPTPP)] TENDER PEMBEKALAN PIPERACILLIN 4G & TAZOBACTAM 500MG INJECTION SEBANYAK 10,373,530 VIAL DI FASILITI - FASILITI DI KEMENTERIAN KESIHATAN MALAYSIA, KEMENTERIAN PENDIDIKAN TINGGI, KEMENTERIAN PERTAHANAN MALAYSIA BAGI TEMPOH TIGA TAHUN.",QT250000000002111,Bekalan,KEMENTERIAN KESIHATAN,M.S. ALLY PHARMA SDN. BHD.,"BANGUNAN M.S.ALLY, NO. 16, JALAN TUN TAN SIEW SIN TIADA MAKLUMAT DAERAH 50050 WILAYAH PERSEKUTUAN KUALA LUMPUR",11/27/25 9:41,TIADA MAKLUMAT,"72,510,974.70"
myprocurement_export (10).xlsx,37,"PERKHIDMATAN MEMBEKAL MAKANAN BERMASAK KE ASRAMA SMK AGAMA KEDAH (TMUA) DI BAWAH JABATAN PENDIDIKAN NEGERI KEDAH , KEMENTERIAN PENDIDIKAN MALAYSIA (KATEGORI A) MULAI 1 JANUARI 2026",QT250000000020443,Perkhidmatan Bukan Perunding,KEMENTERIAN PENDIDIKAN MALAYSIA,KALLYS WORLDWIDE VENTURE,"NO 1 TAMAN MEDAH FASA 2, JALAN TUN ABDUL RAZAK KOTA SETAR 05200 KEDAH",11/27/25 4:41,12/11/25 4:41,"15,186,528.00"
myprocurement_export (12).xlsx,40,"PERKHIDMATAN MEMBEKAL MAKANAN BERMASAK KE ASRAMA PERAK (16) DI BAWAH JABATAN PENDIDIKAN NEGERI PERAK , KEMENTERIAN PENDIDIKAN MALAYSIA (KATEGORI C) MULAI 1 JANUARI 2026",QT250000000020256,Perkhidmatan Bukan Perunding,KEMENTERIAN PENDIDIKAN MALAYSIA,TAKZ PERSPEKTIF ENTERPRISE,"NO. 41, JALAN MERU IMPIAN 2, HALAMAN MERU IMPIAN, BANDAR MERU RAYA KINTA 30020 PERAK",11/27/25 4:41,TIADA MAKLUMAT,"3,725,568.00"
myprocurement_export (12).xlsx,41,"PERKHIDMATAN MEMBEKAL MAKANAN BERMASAK KE ASRAMA PERAK (19) DI BAWAH JABATAN PENDIDIKAN NEGERI PERAK , KEMENTERIAN PENDIDIKAN MALAYSIA (KATEGORI C) MULAI 1 JANUARI 2026",QT250000000020259,Perkhidmatan Bukan Perunding,KEMENTERIAN PENDIDIKAN MALAYSIA,SEMARAK TEKAD ENTERPRISE,"166 JALAN TENGGIRI, TAMAN LELA 2A LARUT & MATANG 34600 PERAK",11/27/25 4:41,TIADA MAKLUMAT,"5,533,920.00"
myprocurement_export (12).xlsx,89,"[FTA (CPTPP)] TENDER PEMBEKALAN PALIPERIDONE PROLONGED RELEASED INJECTION SECARA PAKEJ: I) PALIPERIDONE 50MG PROLONGED RELEASE INJECTION SEBANYAK 3,300 PREFILLED SYRINGE; II) PALIPERIDONE 75MG PROLONGED RELEASE INJECTION SEBANYAK 12,600 PREFILLED SYRINGE; III) PALIPERIDONE 100MG PROLONGED RELEASE INJECTION SEBANYAK 27,800 PREFILLED SYRINGE; DAN IV) PALIPERIDONE 150MG PROLONGED RELEASE INJECTION SEBANYAK 36,000 PREFILLED SYRINGE DI FASILITI-FASILITI KEMENTERIAN KESIHATAN MALAYSIA BAGI TEMPOH TIGA TAHUN",QT250000000001710,Bekalan,KEMENTERIAN KESIHATAN,PRIMABUMI SDN. BHD.,"3RD FLOOR, WISMA PRIMA, 17, JALAN SRI SEMANTAN SATU, DAMANSARA HEIGHTS TIADA MAKLUMAT DAERAH 50490 WILAYAH PERSEKUTUAN KUALA LUMPUR",11/26/25 18:41,TIADA MAKLUMAT,"64,605,490.00"
myprocurement_export (11).xlsx,2,"[FTA(CPTPP)] TENDER PEMBEKALAN FLUVOXAMINE MALEATE TABLET SECARA PAKEJ: I) FLUVOXAMINE MALEATE 50MG TABLET SEBANYAK 17,815,800 TABLET; II) FLUVOXAMINE MALEATE 100MG TABLET SEBANYAK 15,839,400 TABLET DI FASILITI-FASILITI KEMENTERIAN KESIHATAN MALAYSIA, KEMENTERIAN PENDIDIKAN TINGGI DAN KEMENTERIAN PERTAHANAN MALAYSIA BAGI TEMPOH TIGA TAHUN (POOL PROCUREMENT)",QT250000000010948,Bekalan,KEMENTERIAN KESIHATAN,TERAJU FARMA SDN. BHD.,"NO.21, JALAN KOTA RAJA H, 27/H, HICOM TOWN CENTRE PETALING 40400 SELANGOR",11/26/25 17:41,TIADA MAKLUMAT,"21,698,568.00"
myprocurement_export (11).xlsx,14,"[FTA(CPTPP)] Tender Pembekalan Dolutegravir 50mg/Lamivudine 300mg/Tenofovir Disoproxil Fumarate 300mg Film-Coated Tablets Sebanyak 42,210,000 Tablet Di Fasiliti-Fasiliti Kementerian Kesihatan Malaysia Bagi Tempoh Tiga Tahun",QT240000000028848,Bekalan,KEMENTERIAN KESIHATAN,PRIMABUMI SDN. BHD.,"3RD FLOOR, WISMA PRIMA, 17, JALAN SRI SEMANTAN SATU, DAMANSARA HEIGHTS TIADA MAKLUMAT DAERAH 50490 WILAYAH PERSEKUTUAN KUALA LUMPUR",11/26/25 17:41,TIADA MAKLUMAT,"40,831,140.00"
myprocurement_export (11).xlsx,69,"[FTA(CPTPP)] TENDER PEMBEKALAN ALENDRONATE SODIUM 70MG & CHOLECALCIFEROL 5600 IU TABLET SEBANYAK 974,368 TABLET DI FASILITI - FASILITI KEMENTERIAN KESIHATAN MALAYSIA, KEMENTERIAN PENDIDIKAN TINGGI DAN KEMENTERIAN PERTAHANAN MALAYSIA BAGI TEMPOH TIGA TAHUN (POOL PROCUREMENT)",QT25000000010757,Bekalan,KEMENTERIAN KESIHATAN,MUTIARA MURNI SDN. BHD.,"7B, JALAN PETALING UTAMA 7, PETALING UTAMA PETALING 46000 SELANGOR",11/26/25 17:41,TIADA MAKLUMAT,"18,493,504.64"
myprocurement_export (10).xlsx,16,"[FTA(CPTPP)] TENDER PEMBEKALAN LACTULOSE 3.35G/5ML LIQUID SEBANYAK 6,699,760 BOTOL DI FASILITI-FASILITI KEMENTERIAN KESIHATAN MALAYSIA, KEMENTERIAN PENDIDIKAN TINGGI DAN KEMENTERIAN PERTAHANAN MALAYSIA BAGI TEMPOH TIGA TAHUN (POOL PROCUREMENT)",QT250000000010668,Bekalan,KEMENTERIAN KESIHATAN,M.S. ALLY PHARMA SDN. BHD.,"BANGUNAN M.S.ALLY, NO. 16, JALAN TUN TAN SIEW SIN TIADA MAKLUMAT DAERAH 50050 WILAYAH PERSEKUTUAN KUALA LUMPUR",11/26/25 17:41,TIADA MAKLUMAT,"24,119,136.00"
myprocurement_export (11).xlsx,1,"[FTA(CPTPP)] TENDER PEMBEKALAN ETONOGESTREL 68MG IMPLANT SEBANYAK 52,000 IMPLANT DI FASILITI-FASILITI KEMENTERIAN KESIHATAN MALAYSIA BAGI TEMPOH TIGA TAHUN",QT250000000005913,Bekalan,KEMENTERIAN KESIHATAN,M.S. ALLY PHARMA SDN. BHD.,"BANGUNAN M.S.ALLY, NO. 16, JALAN TUN TAN SIEW SIN TIADA MAKLUMAT DAERAH 50050 WILAYAH PERSEKUTUAN KUALA LUMPUR",11/26/25 16:41,TIADA MAKLUMAT,"14,924,000.00"
myprocurement_export (12).xlsx,100,"[FTA(CPTPP)] TENDER PEMBEKALAN DUPILUMAB 300MG SOLUTION FOR INJECTION IN PREFILLED SYRINGE SEBANYAK 14,600 PREFILLED SYRINGE DI FASILITI-FASILITI KEMENTERIAN KESIHATAN MALAYSIA BAGI TEMPOH TIGA TAHUN",QT250000000005912,Bekalan,KEMENTERIAN KESIHATAN,PRIMABUMI SDN. BHD.,"3RD FLOOR, WISMA PRIMA, 17, JALAN SRI SEMANTAN SATU, DAMANSARA HEIGHTS TIADA MAKLUMAT DAERAH 50490 WILAYAH PERSEKUTUAN KUALA LUMPUR",11/26/25 16:41,TIADA MAKLUMAT,"34,969,190.00"
myprocurement_export (12).xlsx,60,[FTA(CPTPP)] TENDER PERKHIDMATAN SIARAN TV DIGITAL BAGI TEMPOH TIGA (3) TAHUN,QT250000000031646,Perkhidmatan Bukan Perunding,KEMENTERIAN KOMUNIKASI,MYTV BROADCASTING SDN. BHD.,"2271 JALAN USAHAWAN 2, CYBER 6 SEPANG 63000 SELANGOR",11/26/25 15:41,TIADA MAKLUMAT,"190,799,998.20"
myprocurement_export (12).xlsx,61,"[FTA(CPTPP)] TENDER PEMBEKALAN RIBOCICLIB 200MG TABLET SEBANYAK 2,171,925 TABLET DI FASILITI - FASILITI DI KEMENTERIAN KESIHATAN MALAYSIA, KEMENTERIAN PENDIDIKAN TINGGI, KEMENTERIAN PERTAHANAN MALAYSIA BAGI TEMPOH TIGA TAHUN (POOL PROCUREMENT)",QT250000000002112,Bekalan,KEMENTERIAN KESIHATAN,QUALITY REPUTATION SDN. BHD.,"B-G-13, B-1-13 & B-2-13, BLOK B,, TAIPAN 2, JALAN PJU 1A/3,, ARA DAMANSARA PETALING 47301 SELANGOR",11/26/25 15:41,TIADA MAKLUMAT,"92,798,081.25"
myprocurement_export (11).xlsx,3,"TAWARAN TENDER MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJI DAN MENTAULIAH SATU (1) UNIT OPERATING MICROSCOPE BAGI KEGUNAAN JABATAN OFTAMOLOGI DI HOSPITAL SELAYANG",QT250000000026755,Bekalan,KEMENTERIAN KESIHATAN,ALAM MEDIK SDN. BHD.,"2ND FLOOR,WISMA PRIMA, 17,JALAN SRI SEMANTAN SATU, DAMANSARA HEIGHTS TIADA MAKLUMAT DAERAH 50490 WILAYAH PERSEKUTUAN KUALA LUMPUR",11/26/25 4:41,TIADA MAKLUMAT,"790,000.00"
